username,location,tweetcreatedts,retweetcount,text,hashtags
MrDaveConroy,B18,2021-01-31 10:15:10,0,How many more times do we have to punch ourselves in the face? #gammonlogic I'd rather die alone of non existent #covid that be helped by a doctor or nurse who isn't white and English https://t.co/xPiZUoh6Vd,"[{'text': 'gammonlogic', 'indices': [63, 75]}, {'text': 'covid', 'indices': [113, 119]}]"
mrdeepee,"Birmingham, UK",2021-01-31 10:14:18,0,"@LBC @AndrewCastle63 Looking after No.1 is self defeating with #COVID, unless you haven't been paying attention.
Some countries won't get the vaccine until 2023. So if we're not prepared to hermetically seal our borders until 2024, ie no entry or exit to anything, then the only sensible answer is YES","[{'text': 'COVID', 'indices': [63, 69]}]"
ngadziore,"Harare, Zimbabwe",2021-01-31 10:10:55,5,"2/ iii. Justice sector players must adopt a holistic approach to decongest prisons &amp; stop unnecessary pre-trial detention.
iv. @PoliceZimbabwe must train officers to impose relevant corrective action that prevents or minimises unnecessary detention for breaking #COVID-19 Regs.",[]
frostycoil,"Arlington, MA",2021-01-31 10:10:41,0,any of those #antivax #covid “protesters” go up to people who lost a loved one to a cancer that had a 96% survival rate and tell them they should shut up already cause everyone else wants to go to a party or uh might that sentiment feel insensitive in a different context,"[{'text': 'antivax', 'indices': [13, 21]}, {'text': 'covid', 'indices': [22, 28]}]"
kerryr0,,2021-01-31 10:06:46,0,Why do we ask each other day after day ‘wyd’ or any plans when we know we’re just sat in the house still in our PJs 🤣🤷🏻‍♀️ #StayAtHome #COVID I’m so guilty of this 🙈,"[{'text': 'StayAtHome', 'indices': [123, 134]}, {'text': 'COVID', 'indices': [135, 141]}]"
DKTechnology1,,2021-01-31 10:04:59,0,https://t.co/LLGIZIgdN2 #covid #Covid-19 Pandemic or Plandemic?. it makes many wonder #Greatreset.,"[{'text': 'covid', 'indices': [24, 30]}, {'text': 'Covid', 'indices': [31, 37]}, {'text': 'Greatreset', 'indices': [86, 97]}]"
Freddytheshoe,,2021-01-31 10:04:34,1,"@alexi_starr @marmorkreb1 The protests are growing in numbers but theres a news blackout. The #ToryScum must release us from our open prisons  or we will break out. We are being lied too. They are exaggerating the death #covid figures to keep us locked down. This is genocide. 
https://t.co/N0ZEThMacv","[{'text': 'ToryScum', 'indices': [94, 103]}, {'text': 'covid', 'indices': [220, 226]}]"
melb4886,,2021-01-31 10:04:11,0,"@BWDDPH Very low. One big thing about #COVID-19 is that it makes too many people v sick &amp; die to be politically acceptable or managed by health services, but this is still a small % of the population.","[{'text': 'COVID', 'indices': [38, 44]}]"
bareen_hospital,"Abu Dhabi, Mohammed bin Zayed City, Zone 15 MOH OK93453. DOH ",2021-01-31 10:00:09,0,"Our COVID-19 RT-PCR Test also detects the new COVID-19 strain (UK). For more information or for consultation, please call 02 554 5555.

#bareenhospital #AbuDhabi #COVID-19 #StaySafe #coronavirus https://t.co/CA8E8na98Q","[{'text': 'bareenhospital', 'indices': [136, 151]}, {'text': 'AbuDhabi', 'indices': [152, 161]}, {'text': 'COVID', 'indices': [162, 168]}, {'text': 'StaySafe', 'indices': [172, 181]}, {'text': 'coronavirus', 'indices': [182, 194]}]"
MashableSEA,Malaysia,2021-01-31 10:00:01,0,"Creepy or nah?
#MashableSEA #SophiaTheRobot #COVID-19

https://t.co/KyU3rRviJy","[{'text': 'MashableSEA', 'indices': [15, 27]}, {'text': 'SophiaTheRobot', 'indices': [28, 43]}, {'text': 'COVID', 'indices': [44, 50]}]"
CatheRomano,🚫DMs 🚫Porn,2021-01-31 09:57:38,3,"It appears that with untold millions of regressive morons who won't wear a mask or won't wear it properly, Biden and Harris are facing an enemy virus and a seditionist party.
#COVID 
Rt
10 days of struggle: Inside Biden’s early coronavirus vaccine effort https://t.co/1pGcbkNs9a",[]
PaulButters1,Cambridgeshire fens,2021-01-31 09:53:41,0,"I suppose the reason labour don't ""oppose"" right now is because they know that if they were in government their approach to #covid would be exactly the same, or slightly different but with the same result","[{'text': 'covid', 'indices': [124, 130]}]"
KristianHarstad,London,2021-01-31 09:51:51,0,"A general resource answering the questions that #COVID deniers typically raise.

Feel free to use this resource when dealing with relatives or friends who refuse to accept that #COVID19 is real and that spread misinformation and disinformation.

https://t.co/YKXTFbseAV","[{'text': 'COVID', 'indices': [48, 54]}, {'text': 'COVID19', 'indices': [177, 185]}]"
ClareDrummy,,2021-01-31 09:50:54,6,"How did the UK cope during the March-April #Covid #lockdown?
New data shows the #wellbeing impact of:
🧒 looking after children
🏘️ household chores and caring for others
🙋 volunteering
💼 working (remotely or out of the home)
https://t.co/lqNQI4iHLE https://t.co/aCFJoSTaEZ","[{'text': 'Covid', 'indices': [60, 66]}, {'text': 'lockdown', 'indices': [67, 76]}, {'text': 'wellbeing', 'indices': [97, 107]}]"
OLQPAdurValley,,2021-01-31 09:50:20,0,"3/4 The Priest's Youth Group considered what they would like to be different in a year. All agreed on an end to #Covid, but it is easy to focus on change to ""other people or things""","[{'text': 'Covid', 'indices': [112, 118]}]"
Zvirevizvevanhu,,2021-01-31 09:42:47,5,"2/ iii. Justice sector players must adopt a holistic approach to decongest prisons &amp; stop unnecessary pre-trial detention.
iv. @PoliceZimbabwe must train officers to impose relevant corrective action that prevents or minimises unnecessary detention for breaking #COVID-19 Regs.",[]
TirxieSimone,Treaty 6 & 7 Alberta,2021-01-31 09:42:16,21,"""If we could half our cases, reduce them by 50 per cent, every five or six days then in seven weeks we can get our case number of old variants to zero:"" Biologist says 7 week lockdown required to eliminate new #COVID-19 cases. #COVID-19AB #yyc #ab #COVID
https://t.co/3aWx11blWA",[]
eeekabee,"San Diego, CA",2021-01-31 09:34:23,3,"It appears that with untold millions of regressive morons who won't wear a mask or won't wear it properly, Biden and Harris are facing an enemy virus and a seditionist party.
#COVID 
Rt
10 days of struggle: Inside Biden’s early coronavirus vaccine effort https://t.co/1pGcbkNs9a",[]
Annsk1,UK & Ireland,2021-01-31 09:34:00,0,"@G0odL1fe Anthropos version 10, they're on the way out. 
MUZZLE TOV Salutation (or goodbye) to Anthropos 10
https://t.co/gMf9ZfyrNH

DUMB ~ How #Ignorance Enables The #Covid #Crime Against Humanity #Truth https://t.co/b1YRPV919i","[{'text': 'Ignorance', 'indices': [144, 154]}, {'text': 'Covid', 'indices': [167, 173]}, {'text': 'Crime', 'indices': [174, 180]}, {'text': 'Truth', 'indices': [198, 204]}]"
NicolaWatson13,"Bulawayo, Zimbabwe",2021-01-31 09:33:24,5,"2/ iii. Justice sector players must adopt a holistic approach to decongest prisons &amp; stop unnecessary pre-trial detention.
iv. @PoliceZimbabwe must train officers to impose relevant corrective action that prevents or minimises unnecessary detention for breaking #COVID-19 Regs.",[]
CalmCounsellor,"Exeter, England",2021-01-31 09:33:20,0,#RubyWax #frazzledcafe is an amazingly supportive platform to stay connected with others in a safe place online daily Mon-Fri. Each day slots are available to join. #itsgoodtotalk 🪴As a #counsellor I signpost clients who live alone or who feel lonely amidst #covid ❤️ https://t.co/pelo1BoKm3,"[{'text': 'RubyWax', 'indices': [0, 8]}, {'text': 'frazzledcafe', 'indices': [9, 22]}, {'text': 'itsgoodtotalk', 'indices': [165, 179]}, {'text': 'counsellor', 'indices': [186, 197]}, {'text': 'covid', 'indices': [258, 264]}]"
askboomer1949,"Anchorage, Alaska",2021-01-31 09:32:26,3,"It appears that with untold millions of regressive morons who won't wear a mask or won't wear it properly, Biden and Harris are facing an enemy virus and a seditionist party.
#COVID 
Rt
10 days of struggle: Inside Biden’s early coronavirus vaccine effort https://t.co/1pGcbkNs9a","[{'text': 'COVID', 'indices': [175, 181]}]"
simbatakadiyi,,2021-01-31 09:30:20,5,"2/ iii. Justice sector players must adopt a holistic approach to decongest prisons &amp; stop unnecessary pre-trial detention.
iv. @PoliceZimbabwe must train officers to impose relevant corrective action that prevents or minimises unnecessary detention for breaking #COVID-19 Regs.",[]
TongeraiR,"London, England",2021-01-31 09:28:23,5,"2/ iii. Justice sector players must adopt a holistic approach to decongest prisons &amp; stop unnecessary pre-trial detention.
iv. @PoliceZimbabwe must train officers to impose relevant corrective action that prevents or minimises unnecessary detention for breaking #COVID-19 Regs.",[]
TwinMomTravels,"Dubai, Delhi",2021-01-31 09:27:09,0,"Absolutely loved this @DFCdubai ! Contactless elevator, you wave your hands to call the lift or in front of the floor you want to go to and that’s all! 
Brilliant
#Dubai #Dubaifestivalcity #UAE #COVID19 #CovidVaccine #COVID @MajidAlFuttaim #contactless https://t.co/x1DxmTuBlg","[{'text': 'Dubai', 'indices': [163, 169]}, {'text': 'Dubaifestivalcity', 'indices': [170, 188]}, {'text': 'UAE', 'indices': [189, 193]}, {'text': 'COVID19', 'indices': [194, 202]}, {'text': 'CovidVaccine', 'indices': [203, 216]}, {'text': 'COVID', 'indices': [217, 223]}, {'text': 'contactless', 'indices': [240, 252]}]"
sciencescanner,"Cambridge, UK",2021-01-31 09:26:35,0,I do think #covid will be with us permanently now as a new endemic perhaps seasonal respiratory disease - but it will likely cannibalise some of the seasonal flu deaths &amp; is unlikely to increase overall morbidity or mortality post-2021 in rich countries and post-2022/3 globally,"[{'text': 'covid', 'indices': [11, 17]}]"
ZLHRLawyers,Harare Zimbabwe,2021-01-31 09:26:25,5,"2/ iii. Justice sector players must adopt a holistic approach to decongest prisons &amp; stop unnecessary pre-trial detention.
iv. @PoliceZimbabwe must train officers to impose relevant corrective action that prevents or minimises unnecessary detention for breaking #COVID-19 Regs.","[{'text': 'COVID', 'indices': [266, 272]}]"
RalphBowles,"Sunshine Coast Q'ld, Australia",2021-01-31 09:23:32,10,So this is how it’s going to be now and forever is it? ONE case and we lock cities down? It’s time for the @LiberalAus party to either honour its name or give up its name. We need REAL leadership not fearful overreacting. #COVID19 #COVID https://t.co/cheCCBqTGR,[]
Jane_Munroe_,Albertastan/AlabamaNorth,2021-01-31 09:22:24,21,"""If we could half our cases, reduce them by 50 per cent, every five or six days then in seven weeks we can get our case number of old variants to zero:"" Biologist says 7 week lockdown required to eliminate new #COVID-19 cases. #COVID-19AB #yyc #ab #COVID
https://t.co/3aWx11blWA",[]
StegStegy,Uk,2021-01-31 09:17:45,0,"Plenty of sch staff in 50s and 60s plus some have medical conditions shock horror. Govt and a lot of public hate teachers. They will never move them up the queue. What happens to a class when their teacher has Covid, Long Covid or dead.  #COVID #marr","[{'text': 'COVID', 'indices': [238, 244]}, {'text': 'marr', 'indices': [245, 250]}]"
owainpj,"London, England",2021-01-31 09:16:51,0,"Even the German media are asking whether @vonderleyen lied or did she just not know what was in the contract

Which is worse: incompetence and wilful ignorance, or deliberate deceit ?

#EU #Covid https://t.co/wm9AO4n9ra","[{'text': 'EU', 'indices': [185, 188]}, {'text': 'Covid', 'indices': [189, 195]}]"
JimMunr96453169,,2021-01-31 09:16:32,0,"@giles_fraser @Christine_ccj This is a serious question @giles_fraser 
What is the view of the Church on #Covid 
Is it seen as #GodsWill or #SatansRevenge or what ?","[{'text': 'Covid', 'indices': [105, 111]}, {'text': 'GodsWill', 'indices': [127, 136]}, {'text': 'SatansRevenge', 'indices': [140, 154]}]"
ThomasIland,"Los Angeles, CA",2021-01-31 09:07:53,0,"#PSA: Attention, @CountyofLA...

We still need to #StayHome/#StayAtHome, #WearAMask/#MaskUp &amp; practice #SocialDistancing/#PhysicalDistancing if we are to #SlowTheSpread/#StopTheDeaths of #COVID19/#COVID.

PLEASE do your part or be #PartOfTheProblem. Thank you!

#SundayThoughts https://t.co/zQ1cTby5QE","[{'text': 'PSA', 'indices': [0, 4]}, {'text': 'StayHome', 'indices': [50, 59]}, {'text': 'StayAtHome', 'indices': [60, 71]}, {'text': 'WearAMask', 'indices': [73, 83]}, {'text': 'MaskUp', 'indices': [84, 91]}, {'text': 'SocialDistancing', 'indices': [107, 124]}, {'text': 'PhysicalDistancing', 'indices': [125, 144]}, {'text': 'SlowTheSpread', 'indices': [158, 172]}, {'text': 'StopTheDeaths', 'indices': [173, 187]}, {'text': 'COVID19', 'indices': [191, 199]}, {'text': 'COVID', 'indices': [200, 206]}, {'text': 'PartOfTheProblem', 'indices': [235, 252]}, {'text': 'SundayThoughts', 'indices': [266, 281]}]"
J_Roc98,,2021-01-31 09:00:00,0,"Passive immunization for #Covid is showing promising results. Good news for everyone with suboptimal responses to vaccines, e.g. because of #Ocrevus or #Rituximab. https://t.co/xFON2NpRcI","[{'text': 'Covid', 'indices': [25, 31]}, {'text': 'Ocrevus', 'indices': [140, 148]}, {'text': 'Rituximab', 'indices': [152, 162]}]"
itsrealdg,"Surabaya, East Java-Indonesia",2021-01-31 08:58:13,21,Don’t insult us in Dubai as a people. We know how to stay safe. Don’t preach to the converted. Perhaps you should focus on your homeland where the situation is out of control. Preach there. #COVID-19  #comment @mehermurshed https://t.co/wbpTFIpGmU,[]
TalkinToU,"If I'm not there, I'm here.",2021-01-31 08:50:28,109,"Did you know #Covid19 can cause damage to your heart? @HarvardHealth breaks down how the virus affects the heart. If you have #Covid or get it in the future, ask your doctor to check your heart! Follow @WHA to learn more. #HeartAndSoul
https://t.co/5rBTTMhBfR","[{'text': 'Covid19', 'indices': [34, 42]}]"
RetweetsMumbai,Mumbai,2021-01-31 08:46:18,1,@CSMIA_Official Information about #mumbai #quarantine hotels on your website is incorrect. Hotels demanding more. Is this really in public health interest or another #airport #travel #scam brewing? https://t.co/eSMGKUOsO2 #COVID19 #COVID https://t.co/QyZbqCtn4E,"[{'text': 'mumbai', 'indices': [51, 58]}, {'text': 'quarantine', 'indices': [59, 70]}]"
katelippiett,Southampton,2021-01-31 08:44:26,1,"Our survey will close today, if you know anyone working with #COVID or #respiratory patients please get them to complete -thanks to all that have completed so far. https://t.co/qMTsGdqI1l","[{'text': 'COVID', 'indices': [77, 83]}, {'text': 'respiratory', 'indices': [87, 99]}]"
norare_,Kenya,2021-01-31 08:42:47,3,"Testing for #COVID-19 can be such a hustle but we at #PoneaHealth are dedicated to making your experience easier, faster and more affordable from the comfort of your home, hotel or work.

Call +254111013900 to book your TT Certified test with your  #HealthcareConcierge https://t.co/sZAZ8q1f1z","[{'text': 'COVID', 'indices': [29, 35]}, {'text': 'PoneaHealth', 'indices': [70, 82]}]"
PrasadGupte,"Berlin, Germany",2021-01-31 08:41:53,1,@CSMIA_Official Information about #mumbai #quarantine hotels on your website is incorrect. Hotels demanding more. Is this really in public health interest or another #airport #travel #scam brewing? https://t.co/eSMGKUOsO2 #COVID19 #COVID https://t.co/QyZbqCtn4E,"[{'text': 'mumbai', 'indices': [34, 41]}, {'text': 'quarantine', 'indices': [42, 53]}, {'text': 'airport', 'indices': [166, 174]}, {'text': 'travel', 'indices': [175, 182]}, {'text': 'scam', 'indices': [183, 188]}, {'text': 'COVID19', 'indices': [222, 230]}, {'text': 'COVID', 'indices': [231, 237]}]"
neweconomygr,"London, England",2021-01-31 08:37:35,0,Top #Dems looking to pass #COVID-19 relief bill with or without #GOP https://t.co/VAlEz8i4G9 via @neweconomygr,"[{'text': 'Dems', 'indices': [4, 9]}, {'text': 'COVID', 'indices': [26, 32]}, {'text': 'GOP', 'indices': [64, 68]}]"
ShaikMuqtar11,"Nizamabad, India",2021-01-31 08:36:09,4,"@kishanreddybjp Garu, As u claim, 2020 growth is -8% (#ActOfGod) &amp; 2021 growth is 11.5% (#ActOfModi); which means 3.5% growth in 2 yrs (Avg. 1.75% per year)😳

Path to recession started 8 Qtrs before #Covid👇.Calling it #ActOfGod or taking refuge in Covid is deplorable🤦🏻‍♂️
@KTRTRS https://t.co/RBr2keMCOr https://t.co/3kezFCWb0Y","[{'text': 'ActOfGod', 'indices': [73, 82]}, {'text': 'ActOfModi', 'indices': [112, 122]}]"
DrNRoberts,Glasgow Caledonian University,2021-01-31 08:34:11,1,"Our survey will close today, if you know anyone working with #COVID or #respiratory patients please get them to complete -thanks to all that have completed so far. https://t.co/qMTsGdqI1l","[{'text': 'COVID', 'indices': [61, 67]}, {'text': 'respiratory', 'indices': [71, 83]}]"
cayte_wambui,,2021-01-31 08:32:59,3,"Testing for #COVID-19 can be such a hustle but we at #PoneaHealth are dedicated to making your experience easier, faster and more affordable from the comfort of your home, hotel or work.

Call +254111013900 to book your TT Certified test with your  #HealthcareConcierge https://t.co/sZAZ8q1f1z","[{'text': 'COVID', 'indices': [29, 35]}, {'text': 'PoneaHealth', 'indices': [70, 82]}]"
Gupta_Bihar,"New Delhi, India",2021-01-31 08:29:34,4,"I urge upon Shri @PrakashJavdekar ji to kindly bring a policy or a scheme under which the Cinema Exhibitors are able to compensate their loss arising out of such unprecedented situations like #COVID. We mustn’t forget what a very famous legend said once, “THE SHOW MUST GO ON” 🃏",[]
BrianLewisInnis,Clapton,2021-01-31 08:27:48,5,"Time to take #responsibility, full or otherwise, for the #scandalous and #cavalier #procurement methods used in the acquiring of #PPE during the #COVID #crisis

#BorisHasFailedTheNation 
#BorisJohnson

#PPE contracts scandal needs full scrutiny | Letters https://t.co/TPMRNhbyvg","[{'text': 'responsibility', 'indices': [28, 43]}, {'text': 'scandalous', 'indices': [72, 83]}, {'text': 'cavalier', 'indices': [88, 97]}, {'text': 'procurement', 'indices': [98, 110]}]"
noopwanii,"Dubai, United Arab Emirates",2021-01-31 08:27:11,1,#COVID19 vaccine query: I have my second doze of the vaccine due in a week or so. Can we walk in for our second shot or do we need to take an appointment now? Also the appointment page either doesn’t work or shows appts weeks away! What to do? #CovidVaccine #Dubai #UAE #COVID,"[{'text': 'COVID19', 'indices': [20, 28]}]"
USFederalCourt,,2021-01-31 08:20:13,0,"#tellme basic expenses afforded in minimal responding education, for my individual the bank qualified my person however #COVID other kind of employers are unable to meet @USDOL @USTreasury @IRS_CI and @USNavy #EXPO @Cosmopolitan #StayHome answers on betrothed or dating @Navy_JAG.","[{'text': 'tellme', 'indices': [0, 7]}, {'text': 'COVID', 'indices': [120, 126]}, {'text': 'EXPO', 'indices': [209, 214]}, {'text': 'StayHome', 'indices': [229, 238]}]"
andrewsgirlies,"London, England",2021-01-31 08:18:40,0,Someone’s gotta find me funny! Or just wind! 😂 #dad #baby #daughter #love #covid #lockdown #morning #beautiful #follow #nike #pink https://t.co/4dxGRJj0wO,"[{'text': 'dad', 'indices': [47, 51]}, {'text': 'baby', 'indices': [52, 57]}, {'text': 'daughter', 'indices': [58, 67]}, {'text': 'love', 'indices': [68, 73]}, {'text': 'covid', 'indices': [74, 80]}, {'text': 'lockdown', 'indices': [81, 90]}, {'text': 'morning', 'indices': [91, 99]}, {'text': 'beautiful', 'indices': [100, 110]}, {'text': 'follow', 'indices': [111, 118]}, {'text': 'nike', 'indices': [119, 124]}, {'text': 'pink', 'indices': [125, 130]}]"
Graceibrahimn,Nairobi Kenya,2021-01-31 08:16:37,3,"Testing for #COVID-19 can be such a hustle but we at #PoneaHealth are dedicated to making your experience easier, faster and more affordable from the comfort of your home, hotel or work.

Call +254111013900 to book your TT Certified test with your  #HealthcareConcierge https://t.co/sZAZ8q1f1z","[{'text': 'COVID', 'indices': [29, 35]}, {'text': 'PoneaHealth', 'indices': [70, 82]}]"
andy464646,UK ,2021-01-31 08:13:34,0,"@davidschneider The NHS uses ""quality adjusted life years"" in decision making. An elderly or very Ill person dying a few a days, weeks or even months sooner because of covid is NOT the same as someone dying decades earlier due to a bombing!! #COVID19 #CovidUK #covid #nhs #lockerbie","[{'text': 'COVID19', 'indices': [242, 250]}, {'text': 'CovidUK', 'indices': [251, 259]}, {'text': 'covid', 'indices': [260, 266]}, {'text': 'nhs', 'indices': [267, 271]}, {'text': 'lockerbie', 'indices': [272, 282]}]"
TTSLitJournal,"Woodbridge, UK",2021-01-31 08:13:29,0,@trishhopkinson #SundayThoughts #sundayvibes #artists #photography create during #COVID19 #COVID or while you wait for the #CovidVaccine #StaySafe,"[{'text': 'SundayThoughts', 'indices': [16, 31]}, {'text': 'sundayvibes', 'indices': [32, 44]}, {'text': 'artists', 'indices': [45, 53]}, {'text': 'photography', 'indices': [54, 66]}, {'text': 'COVID19', 'indices': [81, 89]}, {'text': 'COVID', 'indices': [90, 96]}, {'text': 'CovidVaccine', 'indices': [123, 136]}, {'text': 'StaySafe', 'indices': [137, 146]}]"
PoneaHealth,"Amsterdam, The Netherlands",2021-01-31 08:13:19,3,"Testing for #COVID-19 can be such a hustle but we at #PoneaHealth are dedicated to making your experience easier, faster and more affordable from the comfort of your home, hotel or work.

Call +254111013900 to book your TT Certified test with your  #HealthcareConcierge https://t.co/sZAZ8q1f1z","[{'text': 'COVID', 'indices': [12, 18]}, {'text': 'PoneaHealth', 'indices': [53, 65]}, {'text': 'HealthcareConcierge', 'indices': [249, 269]}]"
USFederalCourt,,2021-01-31 08:11:08,0,"@Toblerone Swiss honey milk chocolate flavor @Starburst jelly and cherry strawberry hearts to @GODIVA milk, caramel, or dark chocolate-then @FlipzSnackz white fudge pretzels in the meanwhile I’d garnish #ValentinesDay💋 of which fruit?@USNavy @Navy_JAG #StayHome #COVID #Away","[{'text': 'ValentinesDay', 'indices': [203, 217]}, {'text': 'StayHome', 'indices': [252, 261]}, {'text': 'COVID', 'indices': [262, 268]}, {'text': 'Away', 'indices': [269, 274]}]"
